Q2_Valence,Q2_Arousal,Cluster,Emotion
0.25,-0.125,0,Relief
0.375,0.5,4,Happy
0.375,0.25,4,Happy
0.625,0.25,4,Happy
0.5,0.0,2,Pride
0.125,0.25,3,Interest
0.25,0.625,4,Happy
0.25,0.0,0,Relief
0.625,0.0,2,Pride
0.125,-0.5,6,Guilt
0.0,0.0,0,Relief
0.5,0.0,2,Pride
0.25,0.0,0,Relief
0.0,0.0,0,Relief
0.5,0.5,4,Happy
0.25,-0.375,6,Guilt
0.25,-0.5,6,Guilt
0.25,0.0,0,Relief
0.125,-0.5,6,Guilt
0.0,-0.375,6,Guilt
-0.125,-0.25,7,Sadness
0.0,-0.5,6,Guilt
0.25,-0.25,0,Relief
0.5,-0.25,2,Pride
0.0,-0.125,0,Relief
0.25,0.25,4,Happy
0.5,0.0,2,Pride
-0.25,-0.25,7,Sadness
0.5,-0.25,2,Pride
0.5,0.0,2,Pride
-0.25,-0.25,7,Sadness
-0.25,-0.25,7,Sadness
-0.5,-0.25,1,Disgust
-0.25,-0.25,7,Sadness
0.0,-0.5,6,Guilt
0.0,0.25,3,Interest
0.0,-0.75,6,Guilt
-0.125,-0.125,7,Sadness
0.0,-0.625,6,Guilt
-0.125,-0.625,6,Guilt
-0.5,-0.5,1,Disgust
0.0,-0.75,6,Guilt
-0.25,0.0,7,Sadness
-0.25,-0.25,7,Sadness
-0.25,-0.5,1,Disgust
0.0,0.0,0,Relief
-0.25,0.25,3,Interest
0.0,0.25,3,Interest
-0.25,0.25,3,Interest
0.0,-0.25,7,Sadness
-0.5,0.0,5,Anger
0.0,-0.25,7,Sadness
0.0,0.5,3,Interest
0.0,0.25,3,Interest
0.0,0.25,3,Interest
-0.5,0.25,5,Anger
-0.25,0.25,3,Interest
0.0,0.0,0,Relief
-0.5,0.5,5,Anger
0.0,0.125,3,Interest
0.5,0.25,4,Happy
0.5,0.25,4,Happy
0.5,0.5,4,Happy
0.5,0.0,2,Pride
0.25,0.0,0,Relief
0.0,0.25,3,Interest
0.5,0.25,4,Happy
0.375,0.25,4,Happy
0.5,0.25,4,Happy
0.25,0.25,4,Happy
0.5,0.5,4,Happy
0.5,0.5,4,Happy
0.5,0.25,4,Happy
0.25,0.5,4,Happy
0.5,0.0,2,Pride
0.25,-0.5,6,Guilt
0.375,0.125,4,Happy
0.0,0.0,0,Relief
0.25,0.0,0,Relief
0.5,-0.25,2,Pride
0.25,0.25,4,Happy
0.25,-0.25,0,Relief
0.75,0.0,2,Pride
0.5,0.25,4,Happy
0.25,0.0,0,Relief
0.0,-0.5,6,Guilt
0.25,-0.25,0,Relief
0.5,0.5,4,Happy
0.0,-0.25,7,Sadness
0.5,0.0,2,Pride
0.0,-0.25,7,Sadness
0.5,0.0,2,Pride
0.0,0.0,0,Relief
0.0,-0.25,7,Sadness
0.0,-0.75,6,Guilt
-0.5,-0.5,1,Disgust
-0.375,-0.375,1,Disgust
-0.5,-0.5,1,Disgust
-0.5,-0.25,1,Disgust
0.0,-0.25,7,Sadness
0.0,-0.5,6,Guilt
-0.25,-0.25,7,Sadness
0.5,0.25,4,Happy
0.125,0.0,0,Relief
-0.125,-0.125,7,Sadness
-0.25,0.25,3,Interest
0.0,0.5,3,Interest
-0.25,-0.125,7,Sadness
0.0,0.25,3,Interest
-0.125,0.25,3,Interest
-0.5,0.5,5,Anger
0.0,0.5,3,Interest
-0.25,0.25,3,Interest
0.0,0.5,3,Interest
-0.5,0.25,5,Anger
-0.5,0.25,5,Anger
0.25,0.25,4,Happy
0.25,0.5,4,Happy
0.0,0.0,0,Relief
-0.5,0.25,5,Anger
